Date,SKU,Ordered Quantity,Sold Quantity,Cost,Price
1/4/2014,Labels,5,3,2.5,3.93
1/4/2014,Storage,6,3,112.5,90.91
1/4/2014,Binders,4,2,4.51,1.77
1/5/2014,Art,4,3,4.88,6.51
1/9/2014,Art,4,2,4.09,4.67
1/9/2014,Accessories,3,3,7.15,10.4
1/10/2014,Labels,3,1,1.53,2.89
1/10/2014,Furnishings,1,1,30.64,51.94
1/11/2014,Furnishings,2,2,3.43,4.97
1/13/2014,Envelopes,4,2,3.01,5.68
1/13/2014,Envelopes,3,3,8.49,16.98
1/13/2014,Accessories,8,6,64.67,107.79
1/13/2014,Binders,6,3,0.98,1.88
1/13/2014,Storage,9,6,89.7,95.43
1/13/2014,Chairs,6,6,76.43,90.99
1/15/2014,Accessories,7,5,16.79,29.99
1/16/2014,Furnishings,9,6,16.42,21.18
1/16/2014,Phones,3,3,51.75,41.4
1/16/2014,Binders,3,2,16.11,9.29
1/16/2014,Labels,6,3,6.64,10.02
1/20/2014,Phones,10,7,73.99,99.99
1/20/2014,Art,9,7,2.33,3.28
1/20/2014,Furnishings,5,4,6.76,9.65
1/20/2014,Art,5,3,1.61,2.21
1/20/2014,Envelopes,6,3,4.12,7.78
1/20/2014,Chairs,3,3,281.22,355.98
1/26/2014,Furnishings,3,3,10.68,20.94
1/26/2014,Storage,9,8,61.24,61.24
1/26/2014,Paper,6,3,3.37,6.48
1/26/2014,Paper,2,2,4.17,8.34
1/26/2014,Phones,14,13,11.95,11.95
1/26/2014,Furnishings,3,3,2.65,4.14
1/26/2014,Phones,3,2,67.67,93.99
1/27/2014,Storage,4,1,42.92,57.23
1/27/2014,Tables,4,3,116.55,111
1/27/2014,Art,6,4,6.1,9.11
1/28/2014,Binders,2,1,2.6,3.93
1/31/2014,Bookcases,3,2,143.62,145.33
2/1/2014,Accessories,9,6,43.76,78.15
2/2/2014,Fasteners,7,5,1.31,2.47
2/3/2014,Binders,4,2,28.3,41.92
2/3/2014,Binders,5,3,2.99,4.42
2/4/2014,Binders,3,3,17.96,27.63
2/4/2014,Paper,4,4,4.54,8.56
2/6/2014,Labels,4,4,1.95,3.75
2/6/2014,Phones,2,1,119.59,161.61
2/6/2014,Phones,5,5,20.58,28.99
2/7/2014,Accessories,7,7,9.39,16.48
2/12/2014,Chairs,2,2,76.93,64.78
2/16/2014,Binders,3,3,0.94,0.36
2/16/2014,Appliances,2,2,10.95,3.98
2/20/2014,Accessories,4,3,13.29,20.77
2/20/2014,Furnishings,5,4,3.35,5.08
2/21/2014,Binders,5,5,4.51,1.77
3/1/2014,Chairs,5,2,203.05,228.78
3/3/2014,Art,5,4,4.01,4.86
3/3/2014,Phones,2,1,5.39,9.99
3/3/2014,Binders,5,3,28.3,41.92
3/3/2014,Binders,5,5,3.23,5.06
3/4/2014,Storage,5,5,67.43,70.98
3/4/2014,Art,5,3,4.41,5.18
3/10/2014,Paper,2,2,5.82,11.19
3/10/2014,Storage,5,3,217.44,212.14
3/10/2014,Art,5,4,18.45,20.79
3/11/2014,Furnishings,7,5,1.21,1.66
3/11/2014,Fasteners,9,6,1.46,1.74
3/11/2014,Paper,16,14,4.28,7.78
3/14/2014,Paper,5,2,2.9,5.28
3/14/2014,Art,3,1,2.13,3.38
3/14/2014,Chairs,4,4,213.74,284.98
3/14/2014,Binders,4,4,5.48,8.27
3/14/2014,Storage,3,1,77.74,80.98
3/14/2014,Accessories,12,12,6.35,6.9
