Date,SKU,Ordered Quantity,Sold Quantity,Price,Cost
2023-01-15,SKU001,158,150,50,30
2023-01-20,SKU002,227,200,60,40
2023-01-25,SKU003,82,75,50,30
2023-02-10,SKU001,186,180,50,30
2023-02-15,SKU002,242,220,60,40
2023-02-20,SKU003,101,90,50,30
2023-02-25,SKU004,128,120,60,40
2023-03-05,SKU001,172,160,50,30
2023-03-10,SKU002,267,240,60,40
2023-03-15,SKU003,98,85,50,30
2023-03-20,SKU004,115,110,60,40
2023-03-25,SKU005,104,95,60,40
2023-04-01,SKU001,181,170,50,30
2023-04-05,SKU002,236,210,60,40
2023-04-10,SKU003,109,100,50,30
2023-04-15,SKU004,137,130,60,40
2023-04-20,SKU005,91,80,60,40
2023-05-01,SKU001,198,190,50,30
2023-05-05,SKU002,250,230,60,40
2023-05-10,SKU003,122,110,50,30
2023-05-15,SKU004,151,140,60,40
2023-05-20,SKU005,115,105,60,40
2023-06-01,SKU001,211,200,50,30
2023-06-05,SKU002,266,250,60,40
2023-06-10,SKU003,136,120,50,30
2023-06-15,SKU004,156,150,60,40
2023-06-20,SKU005,125,115,60,40
2023-07-01,SKU001,194,180,50,30
2023-07-05,SKU002,242,220,60,40
2023-07-10,SKU003,107,95,50,30
2023-07-15,SKU004,133,125,60,40
2023-07-20,SKU005,111,100,60,40
2023-08-01,SKU001,219,210,50,30
2023-08-05,SKU002,258,240,60,40
2023-08-10,SKU003,143,130,50,30
2023-08-15,SKU004,168,160,60,40
2023-08-20,SKU005,130,120,60,40
2023-09-01,SKU001,202,190,50,30
2023-09-05,SKU002,256,230,60,40
2023-09-10,SKU003,119,105,50,30
2023-09-15,SKU004,145,135,60,40
2023-09-20,SKU005,121,110,60,40
2023-10-01,SKU001,227,220,50,30
2023-10-05,SKU002,277,260,60,40
2023-10-10,SKU003,152,140,50,30
2023-10-15,SKU004,179,170,60,40
2023-10-20,SKU005,134,125,60,40
2023-11-01,SKU001,211,200,50,30
2023-11-05,SKU002,264,240,60,40
2023-11-10,SKU003,129,115,50,30
2023-11-15,SKU004,154,145,60,40
2023-11-20,SKU005,141,130,60,40
2023-12-01,SKU001,255,250,50,30
2023-12-05,SKU002,295,280,60,40
2023-12-10,SKU003,172,160,50,30
2023-12-15,SKU004,188,180,60,40
2023-12-20,SKU005,160,150,60,40 
